subject,n_pairs,accuracy,auc,precision_within,recall_within,f1_within,tn,fp,fn,tp,mean_score_within,mean_score_across,score_delta_within_minus_across,age,memory,subject_dir,y_true_npy,y_pred_npy,y_score_npy
temple082,66,0.6818181818181818,0.6867283950617284,0.23529411764705882,0.3333333333333333,0.27586206896551724,41,13,8,4,0.37915979486467727,0.24766018264423953,0.13149961222043774,11.36712329,,/scratch/09123/ofriend/movie_scan/child_predictions/temple082,/scratch/09123/ofriend/movie_scan/child_predictions/temple082/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple082/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple082/y_score.npy
temple083,66,0.7272727272727273,0.6944444444444445,0.3333333333333333,0.5,0.4,42,12,6,6,0.4910297362084756,0.21149401241409882,0.2795357237943768,12.88767123,,/scratch/09123/ofriend/movie_scan/child_predictions/temple083,/scratch/09123/ofriend/movie_scan/child_predictions/temple083/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple083/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple083/y_score.npy
temple084,66,0.5757575757575758,0.691358024691358,0.23333333333333334,0.5833333333333334,0.33333333333333337,31,23,5,7,0.5860723702927938,0.380372466535194,0.20569990375759978,8.769863014,,/scratch/09123/ofriend/movie_scan/child_predictions/temple084,/scratch/09123/ofriend/movie_scan/child_predictions/temple084/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple084/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple084/y_score.npy
temple085,66,0.6818181818181818,0.6141975308641976,0.2631578947368421,0.4166666666666667,0.3225806451612903,40,14,7,5,0.371643197906903,0.269998500997797,0.10164469690910599,11.4630137,,/scratch/09123/ofriend/movie_scan/child_predictions/temple085,/scratch/09123/ofriend/movie_scan/child_predictions/temple085/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple085/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple085/y_score.npy
temple090,66,0.7424242424242424,0.6404320987654321,0.3684210526315789,0.5833333333333334,0.4516129032258065,42,12,5,7,0.5591080689948923,0.24477131722280465,0.31433675177208764,12.52328767,,/scratch/09123/ofriend/movie_scan/child_predictions/temple090,/scratch/09123/ofriend/movie_scan/child_predictions/temple090/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple090/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple090/y_score.npy
temple091,66,0.7727272727272727,0.7669753086419753,0.42105263157894735,0.6666666666666666,0.5161290322580646,43,11,4,8,0.6394413254838972,0.20580875229908746,0.43363257318480974,11.27945205,,/scratch/09123/ofriend/movie_scan/child_predictions/temple091,/scratch/09123/ofriend/movie_scan/child_predictions/temple091/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple091/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple091/y_score.npy
temple092,66,0.696969696969697,0.5555555555555556,0.2777777777777778,0.4166666666666667,0.33333333333333337,41,13,7,5,0.3676919382967203,0.23446287138274896,0.13322906691397135,8.873972603,,/scratch/09123/ofriend/movie_scan/child_predictions/temple092,/scratch/09123/ofriend/movie_scan/child_predictions/temple092/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple092/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple092/y_score.npy
temple093,66,0.7121212121212122,0.5709876543209876,0.29411764705882354,0.4166666666666667,0.3448275862068966,42,12,7,5,0.35355989410919925,0.2167044002388431,0.13685549387035614,10.27671233,,/scratch/09123/ofriend/movie_scan/child_predictions/temple093,/scratch/09123/ofriend/movie_scan/child_predictions/temple093/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple093/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple093/y_score.npy
temple094,66,0.7727272727272727,0.6419753086419753,0.36363636363636365,0.3333333333333333,0.34782608695652173,47,7,8,4,0.3432225279500225,0.13281673552938378,0.21040579242063873,8.375342466,,/scratch/09123/ofriend/movie_scan/child_predictions/temple094,/scratch/09123/ofriend/movie_scan/child_predictions/temple094/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple094/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple094/y_score.npy
temple095,66,0.7424242424242424,0.6990740740740741,0.35294117647058826,0.5,0.41379310344827586,43,11,6,6,0.4902389591682921,0.2211089086761136,0.2691300504921785,8.038356164,,/scratch/09123/ofriend/movie_scan/child_predictions/temple095,/scratch/09123/ofriend/movie_scan/child_predictions/temple095/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple095/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple095/y_score.npy
temple096,66,0.7878787878787878,0.7608024691358024,0.4375,0.5833333333333334,0.5,45,9,5,7,0.5965022252762472,0.16707814200187154,0.42942408327437565,11.40273973,,/scratch/09123/ofriend/movie_scan/child_predictions/temple096,/scratch/09123/ofriend/movie_scan/child_predictions/temple096/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple096/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple096/y_score.npy
temple097,66,0.7121212121212122,0.691358024691358,0.3333333333333333,0.5833333333333334,0.4242424242424242,40,14,5,7,0.5926010487628306,0.22563546065460216,0.36696558810822844,7.802739726,,/scratch/09123/ofriend/movie_scan/child_predictions/temple097,/scratch/09123/ofriend/movie_scan/child_predictions/temple097/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple097/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple097/y_score.npy
temple098,66,0.7878787878787878,0.7129629629629629,0.42857142857142855,0.5,0.4615384615384615,46,8,6,6,0.49869582239062615,0.15070441692269634,0.34799140546792984,8.438356164,,/scratch/09123/ofriend/movie_scan/child_predictions/temple098,/scratch/09123/ofriend/movie_scan/child_predictions/temple098/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple098/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple098/y_score.npy
temple103,66,0.696969696969697,0.6604938271604939,0.2777777777777778,0.4166666666666667,0.33333333333333337,41,13,7,5,0.39853072728308575,0.1974750475949756,0.20105567968811014,12.2109589,,/scratch/09123/ofriend/movie_scan/child_predictions/temple103,/scratch/09123/ofriend/movie_scan/child_predictions/temple103/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple103/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple103/y_score.npy
temple107,66,0.7575757575757576,0.7237654320987654,0.4,0.6666666666666666,0.5,42,12,4,8,0.6183032887609853,0.2330486792289465,0.38525460953203877,9.136986301,,/scratch/09123/ofriend/movie_scan/child_predictions/temple107,/scratch/09123/ofriend/movie_scan/child_predictions/temple107/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple107/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple107/y_score.npy
temple109,66,0.7272727272727273,0.736111111111111,0.25,0.25,0.25,45,9,9,3,0.3809446225368234,0.16386993153733956,0.21707469099948382,11.76164384,,/scratch/09123/ofriend/movie_scan/child_predictions/temple109,/scratch/09123/ofriend/movie_scan/child_predictions/temple109/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple109/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple109/y_score.npy
temple110,66,0.7727272727272727,0.8024691358024691,0.4117647058823529,0.5833333333333334,0.4827586206896552,44,10,5,7,0.5493331565147334,0.1744179355969062,0.37491522091782714,12.73972603,,/scratch/09123/ofriend/movie_scan/child_predictions/temple110,/scratch/09123/ofriend/movie_scan/child_predictions/temple110/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple110/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple110/y_score.npy
temple111,66,0.6818181818181818,0.6851851851851851,0.23529411764705882,0.3333333333333333,0.27586206896551724,41,13,8,4,0.38889398153076055,0.25575543071250945,0.1331385508182511,12.29041096,,/scratch/09123/ofriend/movie_scan/child_predictions/temple111,/scratch/09123/ofriend/movie_scan/child_predictions/temple111/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple111/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple111/y_score.npy
temple112,66,0.6515151515151515,0.6003086419753086,0.21052631578947367,0.3333333333333333,0.2580645161290323,39,15,8,4,0.36787174146978957,0.2752618451294047,0.09260989634038486,10.30136986,,/scratch/09123/ofriend/movie_scan/child_predictions/temple112,/scratch/09123/ofriend/movie_scan/child_predictions/temple112/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple112/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple112/y_score.npy
temple113,66,0.7272727272727273,0.691358024691358,0.36363636363636365,0.6666666666666666,0.4705882352941177,40,14,4,8,0.633506141244854,0.2501835431917635,0.38332259805309055,9.906849315,,/scratch/09123/ofriend/movie_scan/child_predictions/temple113,/scratch/09123/ofriend/movie_scan/child_predictions/temple113/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple113/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple113/y_score.npy
temple114,66,0.7727272727272727,0.632716049382716,0.4,0.5,0.4444444444444445,45,9,6,6,0.4565008338016044,0.18160018088168617,0.2749006529199182,8.802739726,,/scratch/09123/ofriend/movie_scan/child_predictions/temple114,/scratch/09123/ofriend/movie_scan/child_predictions/temple114/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple114/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple114/y_score.npy
temple115,66,0.7424242424242424,0.6728395061728395,0.2727272727272727,0.25,0.2608695652173913,46,8,9,3,0.29251793606746274,0.16846099103706944,0.1240569450303933,7.328767123,,/scratch/09123/ofriend/movie_scan/child_predictions/temple115,/scratch/09123/ofriend/movie_scan/child_predictions/temple115/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple115/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple115/y_score.npy
temple116,66,0.696969696969697,0.6188271604938271,0.3333333333333333,0.6666666666666666,0.4444444444444444,38,16,4,8,0.5541276421687209,0.310107090683885,0.24402055148483592,7.15890411,,/scratch/09123/ofriend/movie_scan/child_predictions/temple116,/scratch/09123/ofriend/movie_scan/child_predictions/temple116/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple116/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple116/y_score.npy
temple117,66,0.6515151515151515,0.6666666666666666,0.2608695652173913,0.5,0.3428571428571428,37,17,6,6,0.46870492982966044,0.2896421848380898,0.17906274499157065,10.64657534,,/scratch/09123/ofriend/movie_scan/child_predictions/temple117,/scratch/09123/ofriend/movie_scan/child_predictions/temple117/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple117/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple117/y_score.npy
temple121,66,0.6818181818181818,0.7530864197530864,0.30434782608695654,0.5833333333333334,0.4,38,16,5,7,0.5810918517653113,0.28615569537336943,0.2949361563919419,10.94246575,,/scratch/09123/ofriend/movie_scan/child_predictions/temple121,/scratch/09123/ofriend/movie_scan/child_predictions/temple121/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple121/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple121/y_score.npy
temple122,66,0.7424242424242424,0.6651234567901234,0.35294117647058826,0.5,0.41379310344827586,43,11,6,6,0.42712315859546696,0.2354873418976551,0.19163581669781185,8.487671233,,/scratch/09123/ofriend/movie_scan/child_predictions/temple122,/scratch/09123/ofriend/movie_scan/child_predictions/temple122/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple122/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple122/y_score.npy
temple125,66,0.696969696969697,0.5601851851851852,0.25,0.3333333333333333,0.28571428571428575,42,12,8,4,0.2933146766662037,0.2447584831793708,0.048556193486832905,8.745205479,,/scratch/09123/ofriend/movie_scan/child_predictions/temple125,/scratch/09123/ofriend/movie_scan/child_predictions/temple125/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple125/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple125/y_score.npy
temple126,66,0.6818181818181818,0.6188271604938271,0.2857142857142857,0.5,0.36363636363636365,39,15,6,6,0.4775886322310516,0.2704369273104883,0.20715170492056328,10.20273973,,/scratch/09123/ofriend/movie_scan/child_predictions/temple126,/scratch/09123/ofriend/movie_scan/child_predictions/temple126/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple126/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple126/y_score.npy
temple128,66,0.7727272727272727,0.7438271604938272,0.4,0.5,0.4444444444444445,45,9,6,6,0.5218220531279686,0.18171438465136236,0.34010766847660623,10.70136986,,/scratch/09123/ofriend/movie_scan/child_predictions/temple128,/scratch/09123/ofriend/movie_scan/child_predictions/temple128/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple128/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple128/y_score.npy
temple129,66,0.5909090909090909,0.5509259259259259,0.17391304347826086,0.3333333333333333,0.22857142857142854,35,19,8,4,0.33961151493959196,0.3435080374688932,-0.0038965225293012273,9.090410959,,/scratch/09123/ofriend/movie_scan/child_predictions/temple129,/scratch/09123/ofriend/movie_scan/child_predictions/temple129/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple129/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple129/y_score.npy
temple130,66,0.7575757575757576,0.5833333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,46,8,8,4,0.30681863557280337,0.18539247491714417,0.1214261606556592,8.038356164,,/scratch/09123/ofriend/movie_scan/child_predictions/temple130,/scratch/09123/ofriend/movie_scan/child_predictions/temple130/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple130/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple130/y_score.npy
temple131,66,0.7878787878787878,0.7746913580246915,0.45,0.75,0.5625000000000001,43,11,3,9,0.7246122179275861,0.21958333720391382,0.5050288807236722,12.42465753,,/scratch/09123/ofriend/movie_scan/child_predictions/temple131,/scratch/09123/ofriend/movie_scan/child_predictions/temple131/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple131/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple131/y_score.npy
temple132,66,0.7727272727272727,0.6404320987654322,0.38461538461538464,0.4166666666666667,0.4,46,8,7,5,0.39011508565983405,0.18277414707775666,0.2073409385820774,9.224657534,,/scratch/09123/ofriend/movie_scan/child_predictions/temple132,/scratch/09123/ofriend/movie_scan/child_predictions/temple132/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple132/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple132/y_score.npy
temple135,66,0.6515151515151515,0.6435185185185186,0.23809523809523808,0.4166666666666667,0.30303030303030304,38,16,7,5,0.41317588400718647,0.29053994537530303,0.12263593863188343,7.09,,/scratch/09123/ofriend/movie_scan/child_predictions/temple135,/scratch/09123/ofriend/movie_scan/child_predictions/temple135/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple135/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple135/y_score.npy
temple136,66,0.6060606060606061,0.5910493827160493,0.20833333333333334,0.4166666666666667,0.2777777777777778,35,19,7,5,0.41129528546368954,0.3356774786422769,0.07561780682141261,7.254794521,,/scratch/09123/ofriend/movie_scan/child_predictions/temple136,/scratch/09123/ofriend/movie_scan/child_predictions/temple136/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple136/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple136/y_score.npy
