subject,age_group,age,run,n_pairs,auc,accuracy,precision_within,recall_within,f1_within,tn,fp,fn,tp
temple063,child,10.72054795,4,66,0.8518518518518519,0.8181818181818182,0.5,0.5833333333333334,0.5384615384615384,47,7,5,7
temple064,child,7.361643836,1,66,0.7253086419753088,0.7575757575757576,0.375,0.5,0.42857142857142855,44,10,6,6
temple064,child,7.361643836,2,66,0.6512345679012346,0.7575757575757576,0.35714285714285715,0.4166666666666667,0.3846153846153846,45,9,7,5
temple064,child,7.361643836,3,66,0.7777777777777778,0.7575757575757576,0.375,0.5,0.42857142857142855,44,10,6,6
temple064,child,7.361643836,4,66,0.5077160493827161,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.26666666666666666,40,14,8,4
temple065,child,9.452054795,1,66,0.8580246913580247,0.8333333333333334,0.5384615384615384,0.5833333333333334,0.5599999999999999,48,6,5,7
temple065,child,9.452054795,2,66,0.7330246913580247,0.803030303030303,0.4666666666666667,0.5833333333333334,0.5185185185185186,46,8,5,7
temple065,child,9.452054795,3,66,0.7978395061728395,0.7878787878787878,0.4375,0.5833333333333334,0.5,45,9,5,7
temple065,child,9.452054795,4,66,0.5987654320987654,0.7575757575757576,0.16666666666666666,0.08333333333333333,0.1111111111111111,49,5,11,1
temple066,child,9.97260274,1,66,0.7669753086419753,0.7878787878787878,0.4166666666666667,0.4166666666666667,0.4166666666666667,47,7,7,5
temple066,child,9.97260274,2,66,0.8472222222222222,0.803030303030303,0.4666666666666667,0.5833333333333334,0.5185185185185186,46,8,5,7
temple066,child,9.97260274,3,66,0.7530864197530864,0.803030303030303,0.4666666666666667,0.5833333333333334,0.5185185185185186,46,8,5,7
temple066,child,9.97260274,4,66,0.7947530864197532,0.803030303030303,0.47058823529411764,0.6666666666666666,0.5517241379310345,45,9,4,8
temple068,child,9.764383562,1,66,0.66820987654321,0.6515151515151515,0.17647058823529413,0.25,0.20689655172413793,40,14,9,3
temple068,child,9.764383562,2,66,0.7283950617283951,0.7575757575757576,0.4090909090909091,0.75,0.5294117647058824,41,13,3,9
temple068,child,9.764383562,3,66,0.7731481481481481,0.8181818181818182,0.5,0.5833333333333334,0.5384615384615384,47,7,5,7
temple068,child,9.764383562,4,66,0.7746913580246912,0.803030303030303,0.46153846153846156,0.5,0.48000000000000004,47,7,6,6
temple069,child,9.673972603,1,66,0.7330246913580247,0.7424242424242424,0.3333333333333333,0.4166666666666667,0.3703703703703704,44,10,7,5
temple069,child,9.673972603,2,66,0.7299382716049382,0.803030303030303,0.45454545454545453,0.4166666666666667,0.43478260869565216,48,6,7,5
temple069,child,9.673972603,3,66,0.8209876543209876,0.8181818181818182,0.5,0.6666666666666666,0.5714285714285715,46,8,4,8
temple069,child,9.673972603,4,66,0.5802469135802469,0.7121212121212122,0.29411764705882354,0.4166666666666667,0.3448275862068966,42,12,7,5
temple070,child,7.473972603,1,66,0.6944444444444444,0.696969696969697,0.3181818181818182,0.5833333333333334,0.4117647058823529,39,15,5,7
temple070,child,7.473972603,2,66,0.6867283950617284,0.7575757575757576,0.3888888888888889,0.5833333333333334,0.4666666666666666,43,11,5,7
temple070,child,7.473972603,3,66,0.7098765432098766,0.7575757575757576,0.3333333333333333,0.3333333333333333,0.3333333333333333,46,8,8,4
temple070,child,7.473972603,4,66,0.6543209876543209,0.7878787878787878,0.42857142857142855,0.5,0.4615384615384615,46,8,6,6
temple079,child,10.7890411,1,66,0.7731481481481481,0.7727272727272727,0.4,0.5,0.4444444444444445,45,9,6,6
temple079,child,10.7890411,2,66,0.7777777777777778,0.8333333333333334,0.5333333333333333,0.6666666666666666,0.5925925925925926,47,7,4,8
temple079,child,10.7890411,3,66,0.763888888888889,0.7727272727272727,0.38461538461538464,0.4166666666666667,0.4,46,8,7,5
temple079,child,10.7890411,4,66,0.7762345679012346,0.7878787878787878,0.42857142857142855,0.5,0.4615384615384615,46,8,6,6
temple082,child,11.36712329,1,66,0.5123456790123457,0.5757575757575758,0.16666666666666666,0.3333333333333333,0.2222222222222222,34,20,8,4
temple082,child,11.36712329,2,66,0.712962962962963,0.696969696969697,0.3181818181818182,0.5833333333333334,0.4117647058823529,39,15,5,7
temple082,child,11.36712329,3,66,0.7731481481481481,0.7727272727272727,0.42857142857142855,0.75,0.5454545454545454,42,12,3,9
temple082,child,11.36712329,4,66,0.7762345679012346,0.7727272727272727,0.42105263157894735,0.6666666666666666,0.5161290322580646,43,11,4,8
temple083,child,12.88767123,1,66,0.5570987654320987,0.7575757575757576,0.3333333333333333,0.3333333333333333,0.3333333333333333,46,8,8,4
temple083,child,12.88767123,2,66,0.662037037037037,0.803030303030303,0.46153846153846156,0.5,0.48000000000000004,47,7,6,6
temple083,child,12.88767123,3,66,0.7006172839506173,0.7575757575757576,0.4,0.6666666666666666,0.5,42,12,4,8
temple083,child,12.88767123,4,66,0.8641975308641975,0.8333333333333334,0.5333333333333333,0.6666666666666666,0.5925925925925926,47,7,4,8
temple084,child,8.769863014,1,66,0.837962962962963,0.7727272727272727,0.4117647058823529,0.5833333333333334,0.4827586206896552,44,10,5,7
temple084,child,8.769863014,2,66,0.7993827160493827,0.803030303030303,0.4666666666666667,0.5833333333333334,0.5185185185185186,46,8,5,7
temple084,child,8.769863014,3,66,0.7453703703703703,0.8333333333333334,0.5333333333333333,0.6666666666666666,0.5925925925925926,47,7,4,8
temple084,child,8.769863014,4,66,0.7175925925925926,0.7121212121212122,0.26666666666666666,0.3333333333333333,0.2962962962962963,43,11,8,4
temple085,child,11.4630137,1,66,0.5308641975308641,0.7121212121212122,0.29411764705882354,0.4166666666666667,0.3448275862068966,42,12,7,5
temple085,child,11.4630137,2,66,0.8055555555555556,0.8181818181818182,0.5,0.5833333333333334,0.5384615384615384,47,7,5,7
temple085,child,11.4630137,3,66,0.7021604938271606,0.7878787878787878,0.4444444444444444,0.6666666666666666,0.5333333333333333,44,10,4,8
temple085,child,11.4630137,4,66,0.7191358024691359,0.7878787878787878,0.4,0.3333333333333333,0.3636363636363636,48,6,8,4
temple090,child,12.52328767,1,66,0.654320987654321,0.6666666666666666,0.2727272727272727,0.5,0.3529411764705882,38,16,6,6
temple090,child,12.52328767,2,66,0.7993827160493827,0.7727272727272727,0.4,0.5,0.4444444444444445,45,9,6,6
temple090,child,12.52328767,3,66,0.662037037037037,0.696969696969697,0.3,0.5,0.37499999999999994,40,14,6,6
temple090,child,12.52328767,4,66,0.6111111111111112,0.7727272727272727,0.38461538461538464,0.4166666666666667,0.4,46,8,7,5
temple091,child,11.27945205,1,66,0.7623456790123457,0.803030303030303,0.4666666666666667,0.5833333333333334,0.5185185185185186,46,8,5,7
temple091,child,11.27945205,2,66,0.7283950617283952,0.7272727272727273,0.3333333333333333,0.5,0.4,42,12,6,6
temple091,child,11.27945205,3,66,0.7268518518518519,0.7727272727272727,0.4,0.5,0.4444444444444445,45,9,6,6
temple091,child,11.27945205,4,66,0.7561728395061729,0.8181818181818182,0.5,0.5833333333333334,0.5384615384615384,47,7,5,7
temple092,child,8.873972603,1,66,0.7685185185185185,0.7575757575757576,0.3888888888888889,0.5833333333333334,0.4666666666666666,43,11,5,7
temple092,child,8.873972603,2,66,0.662037037037037,0.696969696969697,0.25,0.3333333333333333,0.28571428571428575,42,12,8,4
temple092,child,8.873972603,3,66,0.691358024691358,0.7727272727272727,0.38461538461538464,0.4166666666666667,0.4,46,8,7,5
temple092,child,8.873972603,4,66,0.683641975308642,0.8181818181818182,0.5,0.5833333333333334,0.5384615384615384,47,7,5,7
temple093,child,10.27671233,1,66,0.7608024691358025,0.7878787878787878,0.4166666666666667,0.4166666666666667,0.4166666666666667,47,7,7,5
temple093,child,10.27671233,2,66,0.6219135802469136,0.6060606060606061,0.18181818181818182,0.3333333333333333,0.23529411764705885,36,18,8,4
temple093,child,10.27671233,3,66,0.7901234567901234,0.803030303030303,0.45454545454545453,0.4166666666666667,0.43478260869565216,48,6,7,5
temple093,child,10.27671233,4,66,0.8055555555555556,0.8484848484848485,0.5833333333333334,0.5833333333333334,0.5833333333333334,49,5,5,7
temple094,child,8.375342466,1,66,0.7268518518518519,0.7424242424242424,0.3333333333333333,0.4166666666666667,0.3703703703703704,44,10,7,5
temple094,child,8.375342466,2,66,0.6697530864197531,0.803030303030303,0.46153846153846156,0.5,0.48000000000000004,47,7,6,6
temple094,child,8.375342466,3,66,0.8981481481481481,0.7727272727272727,0.42105263157894735,0.6666666666666666,0.5161290322580646,43,11,4,8
temple094,child,8.375342466,4,66,0.728395061728395,0.803030303030303,0.4666666666666667,0.5833333333333334,0.5185185185185186,46,8,5,7
temple095,child,8.038356164,1,66,0.7808641975308642,0.803030303030303,0.4666666666666667,0.5833333333333334,0.5185185185185186,46,8,5,7
