subject,age_group,age,n_pairs,accuracy,auc,precision_within,recall_within,f1_within,tn,fp,fn,tp,mean_score_within,mean_score_across,score_delta_within_minus_across
temple098,child,8.438356164,66,0.7878787878787878,0.7129629629629629,0.4285714285714285,0.5,0.4615384615384615,46,8,6,6,0.4986958223906261,0.1507044169226963,0.3479914054679298
temple103,child,12.2109589,66,0.696969696969697,0.6604938271604939,0.2777777777777778,0.4166666666666667,0.3333333333333333,41,13,7,5,0.3985307272830857,0.1974750475949756,0.2010556796881101
temple107,child,9.136986301,66,0.7575757575757576,0.7237654320987654,0.4,0.6666666666666666,0.5,42,12,4,8,0.6183032887609853,0.2330486792289465,0.3852546095320387
temple109,child,11.76164384,66,0.7272727272727273,0.736111111111111,0.25,0.25,0.25,45,9,9,3,0.3809446225368234,0.1638699315373395,0.2170746909994838
temple110,child,12.73972603,66,0.7727272727272727,0.8024691358024691,0.4117647058823529,0.5833333333333334,0.4827586206896552,44,10,5,7,0.5493331565147334,0.1744179355969062,0.3749152209178271
temple111,child,12.29041096,66,0.6818181818181818,0.6851851851851851,0.2352941176470588,0.3333333333333333,0.2758620689655172,41,13,8,4,0.3888939815307605,0.2557554307125094,0.1331385508182511
temple112,child,10.30136986,66,0.6515151515151515,0.6003086419753086,0.2105263157894736,0.3333333333333333,0.2580645161290323,39,15,8,4,0.3678717414697895,0.2752618451294047,0.0926098963403848
temple113,child,9.906849315,66,0.7272727272727273,0.691358024691358,0.3636363636363636,0.6666666666666666,0.4705882352941177,40,14,4,8,0.633506141244854,0.2501835431917635,0.3833225980530905
temple114,child,8.802739726,66,0.7727272727272727,0.632716049382716,0.4,0.5,0.4444444444444445,45,9,6,6,0.4565008338016044,0.1816001808816861,0.2749006529199182
temple115,child,7.328767123,66,0.7424242424242424,0.6728395061728395,0.2727272727272727,0.25,0.2608695652173913,46,8,9,3,0.2925179360674627,0.1684609910370694,0.1240569450303933
temple116,child,7.15890411,66,0.696969696969697,0.6188271604938271,0.3333333333333333,0.6666666666666666,0.4444444444444444,38,16,4,8,0.5541276421687209,0.310107090683885,0.2440205514848359
temple117,child,10.64657534,66,0.6515151515151515,0.6666666666666666,0.2608695652173913,0.5,0.3428571428571428,37,17,6,6,0.4687049298296604,0.2896421848380898,0.1790627449915706
temple121,child,10.94246575,66,0.6818181818181818,0.7530864197530864,0.3043478260869565,0.5833333333333334,0.4,38,16,5,7,0.5810918517653113,0.2861556953733694,0.2949361563919419
temple122,child,8.487671233,66,0.7424242424242424,0.6651234567901234,0.3529411764705882,0.5,0.4137931034482758,43,11,6,6,0.4271231585954669,0.2354873418976551,0.1916358166978118
temple125,child,8.745205479,66,0.696969696969697,0.5601851851851852,0.25,0.3333333333333333,0.2857142857142857,42,12,8,4,0.2933146766662037,0.2447584831793708,0.0485561934868329
temple126,child,10.20273973,66,0.6818181818181818,0.6188271604938271,0.2857142857142857,0.5,0.3636363636363636,39,15,6,6,0.4775886322310516,0.2704369273104883,0.2071517049205632
temple128,child,10.70136986,66,0.7727272727272727,0.7438271604938272,0.4,0.5,0.4444444444444445,45,9,6,6,0.5218220531279686,0.1817143846513623,0.3401076684766062
temple129,child,9.090410959,66,0.5909090909090909,0.5509259259259259,0.1739130434782608,0.3333333333333333,0.2285714285714285,35,19,8,4,0.3396115149395919,0.3435080374688932,-0.0038965225293012
temple130,child,8.038356164,66,0.7575757575757576,0.5833333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,46,8,8,4,0.3068186355728033,0.1853924749171441,0.1214261606556592
temple131,child,12.42465753,66,0.7878787878787878,0.7746913580246915,0.45,0.75,0.5625000000000001,43,11,3,9,0.7246122179275861,0.2195833372039138,0.5050288807236722
temple132,child,9.224657534,66,0.7727272727272727,0.6404320987654322,0.3846153846153846,0.4166666666666667,0.4,46,8,7,5,0.390115085659834,0.1827741470777566,0.2073409385820774
temple136,child,7.254794521,66,0.6060606060606061,0.5910493827160493,0.2083333333333333,0.4166666666666667,0.2777777777777778,35,19,7,5,0.4112952854636895,0.3356774786422769,0.0756178068214126
temple056,adult,18.46575342,66,0.6515151515151515,0.5185185185185185,0.13333333333333333,0.16666666666666666,0.14814814814814814,41,13,10,2,0.20639210023896895,0.23849332380866567,-0.03210122356969672
temple057,adult,20.61369863,66,0.7575757575757576,0.7530864197530864,0.375,0.5,0.42857142857142855,44,10,6,6,0.5193821150000804,0.18453333921283852,0.3348487757872418
temple058,adult,21.49041096,66,0.6363636363636364,0.5925925925925927,0.16666666666666666,0.25,0.2,39,15,9,3,0.29105417679779894,0.27730512597175416,0.013749050826044773
temple059,adult,20.25753425,66,0.7727272727272727,0.7453703703703705,0.42105263157894735,0.6666666666666666,0.5161290322580646,43,11,4,8,0.5920251333835664,0.21220628942236927,0.37981884396119714
temple071,adult,27.30684932,66,0.8333333333333334,0.8379629629629629,0.5333333333333333,0.6666666666666666,0.5925925925925926,47,7,4,8,0.6182907958128233,0.16699694945980215,0.45129384635302117
temple072,adult,19.53150685,66,0.696969696969697,0.6712962962962963,0.2777777777777778,0.4166666666666667,0.33333333333333337,41,13,7,5,0.38342808461310574,0.2260171895007215,0.15741089511238424
