subject,age_group,age,n_pairs,accuracy,auc,precision_within,recall_within,f1_within,tn,fp,fn,tp,mean_score_within,mean_score_across,score_delta_within_minus_across
temple103,child,12.2109589,66,0.7424242424242424,0.6944444444444444,0.3333333333333333,0.4166666666666667,0.3703703703703704,44,10,7,5,0.4331348230240483,0.1957305085507742,0.2374043144732741
temple107,child,9.136986301,66,0.696969696969697,0.6234567901234568,0.3,0.5,0.3749999999999999,40,14,6,6,0.4608231608624125,0.2785816841199486,0.1822414767424638
temple109,child,11.76164384,66,0.7727272727272727,0.7391975308641976,0.4,0.5,0.4444444444444445,45,9,6,6,0.4633152095110595,0.1750681636439178,0.2882470458671416
temple110,child,12.73972603,66,0.7727272727272727,0.6867283950617284,0.3846153846153846,0.4166666666666667,0.4,46,8,7,5,0.4397353055231499,0.1519405193850664,0.2877947861380835
temple111,child,12.29041096,66,0.6818181818181818,0.6342592592592593,0.2,0.25,0.2222222222222222,42,12,9,3,0.29423975258585,0.23523809064242,0.0590016619434299
temple112,child,10.30136986,66,0.8181818181818182,0.8209876543209877,0.5,0.5833333333333334,0.5384615384615384,47,7,5,7,0.5388782192423712,0.1455623338277043,0.3933158854146669
temple113,child,9.906849315,66,0.7727272727272727,0.6219135802469137,0.3846153846153846,0.4166666666666667,0.4,46,8,7,5,0.4520825517384915,0.1579215953984867,0.2941609563400047
temple114,child,8.802739726,66,0.8333333333333334,0.7608024691358025,0.5454545454545454,0.5,0.5217391304347826,49,5,6,6,0.443966169783102,0.1379940526674443,0.3059721171156577
temple115,child,7.328767123,66,0.8333333333333334,0.904320987654321,0.5263157894736842,0.8333333333333334,0.6451612903225806,45,9,2,10,0.792638334345065,0.1749081195497129,0.6177302147953521
temple116,child,7.15890411,66,0.7121212121212122,0.7268518518518517,0.3157894736842105,0.5,0.3870967741935484,41,13,6,6,0.5541492244766868,0.2263974057413261,0.3277518187353606
temple117,child,10.64657534,66,0.7424242424242424,0.8055555555555556,0.3684210526315789,0.5833333333333334,0.4516129032258065,42,12,5,7,0.6153179299883426,0.2115778601544004,0.4037400698339421
temple121,child,10.94246575,66,0.6515151515151515,0.6790123456790123,0.238095238095238,0.4166666666666667,0.303030303030303,38,16,7,5,0.419850653467629,0.2650547340617542,0.1547959194058747
temple122,child,8.487671233,66,0.803030303030303,0.7361111111111112,0.4666666666666667,0.5833333333333334,0.5185185185185186,46,8,5,7,0.5635759662468097,0.148332973196773,0.4152429930500367
temple125,child,8.745205479,66,0.7272727272727273,0.595679012345679,0.2857142857142857,0.3333333333333333,0.3076923076923076,44,10,8,4,0.2937231970024557,0.2086136989896906,0.085109498012765
temple126,child,10.20273973,66,0.7121212121212122,0.5570987654320988,0.2666666666666666,0.3333333333333333,0.2962962962962963,43,11,8,4,0.3218111236463998,0.1847229613380307,0.1370881623083691
temple128,child,10.70136986,66,0.8181818181818182,0.8703703703703703,0.5,0.75,0.6,45,9,3,9,0.7147394276155953,0.1938181203768768,0.5209213072387184
temple129,child,9.090410959,66,0.7424242424242424,0.6311728395061728,0.3076923076923077,0.3333333333333333,0.32,45,9,8,4,0.3715424796343594,0.1870483149155215,0.1844941647188379
temple130,child,8.038356164,66,0.803030303030303,0.8379629629629629,0.4705882352941176,0.6666666666666666,0.5517241379310345,45,9,4,8,0.6726274056845064,0.1406532889423752,0.5319741167421312
temple131,child,12.42465753,66,0.7575757575757576,0.7839506172839507,0.3888888888888889,0.5833333333333334,0.4666666666666666,43,11,5,7,0.5878996182434331,0.2298700540720921,0.3580295641713409
temple132,child,9.224657534,66,0.696969696969697,0.566358024691358,0.25,0.3333333333333333,0.2857142857142857,42,12,8,4,0.3196612682732593,0.2397492517100826,0.0799120165631767
temple136,child,7.254794521,66,0.7727272727272727,0.6635802469135803,0.3636363636363636,0.3333333333333333,0.3478260869565217,47,7,8,4,0.3571801035448458,0.1296082508667888,0.227571852678057
temple056,adult,18.46575342,66,0.8333333333333334,0.7083333333333334,0.5555555555555556,0.4166666666666667,0.4761904761904762,50,4,7,5,0.4220095829007544,0.07629902537084142,0.345710557529913
temple057,adult,20.61369863,66,0.803030303030303,0.7885802469135802,0.46153846153846156,0.5,0.48000000000000004,47,7,6,6,0.5056774605174208,0.15316463727567933,0.3525128232417415
temple058,adult,21.49041096,66,0.7424242424242424,0.6419753086419753,0.3333333333333333,0.4166666666666667,0.3703703703703704,44,10,7,5,0.4005640769259522,0.20882392265742777,0.19174015426852442
