subject,age_group,age,run,n_pairs,auc,accuracy,precision_within,recall_within,f1_within,tn,fp,fn,tp
temple106,adult,20.19178082,1,66,0.6064814814814814,0.696969696969697,0.25,0.3333333333333333,0.28571428571428575,42,12,8,4
temple106,adult,20.19178082,2,66,0.7098765432098766,0.7575757575757576,0.35714285714285715,0.4166666666666667,0.3846153846153846,45,9,7,5
temple106,adult,20.19178082,3,66,0.6095679012345679,0.696969696969697,0.3,0.5,0.37499999999999994,40,14,6,6
temple106,adult,20.19178082,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple108,adult,18.93150685,1,66,0.7638888888888888,0.7878787878787878,0.42857142857142855,0.5,0.4615384615384615,46,8,6,6
temple108,adult,18.93150685,2,66,0.5385802469135803,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.26666666666666666,40,14,8,4
temple108,adult,18.93150685,3,66,0.6728395061728396,0.696969696969697,0.25,0.3333333333333333,0.28571428571428575,42,12,8,4
temple108,adult,18.93150685,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple119,adult,22.16438356,1,66,0.6080246913580247,0.7121212121212122,0.26666666666666666,0.3333333333333333,0.2962962962962963,43,11,8,4
temple119,adult,22.16438356,2,66,0.6959876543209876,0.7575757575757576,0.3888888888888889,0.5833333333333334,0.4666666666666666,43,11,5,7
temple119,adult,22.16438356,3,66,0.8117283950617283,0.8181818181818182,0.5,0.5833333333333334,0.5384615384615384,47,7,5,7
temple119,adult,22.16438356,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple120,adult,20.65479452,1,66,0.8009259259259259,0.7878787878787878,0.4375,0.5833333333333334,0.5,45,9,5,7
temple120,adult,20.65479452,2,66,0.6296296296296297,0.7727272727272727,0.38461538461538464,0.4166666666666667,0.4,46,8,7,5
temple120,adult,20.65479452,3,66,0.6280864197530864,0.6818181818181818,0.2,0.25,0.22222222222222224,42,12,9,3
temple120,adult,20.65479452,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple123,adult,19.30136986,1,66,0.6033950617283951,0.6515151515151515,0.23809523809523808,0.4166666666666667,0.30303030303030304,38,16,7,5
